1;Toulouse;Paris SG;;7,42%;;21,10%;71,50%;
2;Bourg Peronnas;Laval;51,40%;;;35,60%;;12,90%
3;Mouscron;FC Bruges;;14,50%;;25,10%;60,40%;
4;Dep.Corogne;CD Leganes;74,70%;;;18,60%;;6,67%
5;Osasuna;Espanyol;;37,50%;;36,20%;;26,30%
6;FC Valence;Alaves;64,10%;;;20,60%;;15,30%
7;Betis S‚ville;Malaga;50,90%;;;34,30%;;14,90%
;;;;;;;;
;;;1;N;2;;;
;;;7,42%;21,10%;71,50%;;;
;;;51,40%;35,60%;12,90%;;;
;;;14,50%;25,10%;60,40%;;;
;;;74,70%;18,60%;6,67%;;;
;;;37,50%;36,20%;26,30%;;;
;;;64,10%;20,60%;15,30%;;;
;;;50,90%;34,30%;14,90%;;;
;;;;;;;;
